ECART TYPE;1.5199079048052033E-4;
ID;Vitesse;Zone affectée;
24;1.41578974358974;0;
23;1.4667358974359;0;
36;1.3537125;0;
42;1.11700865384615;0;
14;1.39518173076923;0;
31;1.14160769230769;0;
7;1.37508525641026;0;
38;1.17621570512821;0;
8;1.10262820512821;1;
33;1.36339006410256;1;
2;1.26833525641026;1;
11;1.38303525641026;1;
9;1.27651858974359;1;
37;1.41010256410256;1;
29;1.2643782051282;1;
48;1.3703233974359;1;
27;1.38222788461538;2;
6;1.39077435897436;2;
3;1.29170064102564;2;
34;1.12933429487179;2;
19;1.242825;2;
39;1.38086121794872;2;
15;1.25415256410256;2;
18;1.3676108974359;2;
17;1.26601826923077;3;
20;1.27468717948718;3;
30;1.25529871794872;3;
32;1.34871121794872;3;
35;1.21889967948718;3;
43;1.42255384615385;3;
28;1.13083717948718;3;
13;1.52128878205128;3;
40;1.32788621794872;4;
47;1.17099487179487;4;
22;1.09703846153846;4;
44;1.37143846153846;4;
45;1.43075993589744;4;
10;1.21970865384615;4;
46;1.56781025641026;4;
4;1.25450416666667;4;
5;1.42281378205128;5;
41;1.50639455128205;5;
1;1.28156314102564;5;
25;1.19993108974359;5;
12;1.11068301282051;5;
16;1.49925288461538;5;
26;1.23851538461538;5;
21;1.18235512820513;5;
