ECART TYPE;2.086097997972062E-5;
ID;Vitesse;Zone affectée;
43;1.42255384615385;0;
14;1.39518173076923;0;
8;1.10262820512821;0;
17;1.26601826923077;0;
45;1.43075993589744;0;
38;1.17621570512821;0;
27;1.38222788461538;0;
29;1.2643782051282;0;
23;1.4667358974359;1;
42;1.11700865384615;1;
40;1.32788621794872;1;
36;1.3537125;1;
16;1.49925288461538;1;
31;1.14160769230769;1;
12;1.11068301282051;1;
5;1.42281378205128;1;
19;1.242825;2;
30;1.25529871794872;2;
39;1.38086121794872;2;
11;1.38303525641026;2;
44;1.37143846153846;2;
47;1.17099487179487;2;
10;1.21970865384615;2;
24;1.41578974358974;2;
22;1.09703846153846;3;
2;1.26833525641026;3;
26;1.23851538461538;3;
34;1.12933429487179;3;
4;1.25450416666667;3;
46;1.56781025641026;3;
33;1.36339006410256;3;
13;1.52128878205128;3;
6;1.39077435897436;4;
18;1.3676108974359;4;
37;1.41010256410256;4;
35;1.21889967948718;4;
48;1.3703233974359;4;
20;1.27468717948718;4;
28;1.13083717948718;4;
9;1.27651858974359;4;
21;1.18235512820513;5;
32;1.34871121794872;5;
15;1.25415256410256;5;
7;1.37508525641026;5;
41;1.50639455128205;5;
25;1.19993108974359;5;
1;1.28156314102564;5;
3;1.29170064102564;5;
